name,longitude,latitude
Tijuca,-43.214933151140272,-22.922479497059122
Tijuca,-43.214772350999105,-22.922571786893112
Tijuca,-43.214443431463266,-22.922749598019948
Tijuca,-43.214362717884661,-22.922815876584778
Tijuca,-43.214346792390636,-22.922929933371876
Tijuca,-43.214374422834219,-22.923031113295746
Tijuca,-43.214682742182831,-22.923316872315226
Tijuca,-43.214918972394841,-22.923561454051775
Tijuca,-43.214968700517908,-22.923642654208518
Tijuca,-43.215017194589358,-22.923818028565968
Tijuca,-43.215079774178854,-22.924027067206321
Tijuca,-43.21522931084786,-22.924243851246572
Tijuca,-43.215513602314616,-22.924406975664958
Tijuca,-43.217321113801255,-22.925477163938453
Tijuca,-43.217609544301666,-22.925614862314244
Tijuca,-43.217703813896023,-22.926002606033158
Tijuca,-43.217698314821405,-22.926422819868915
Tijuca,-43.218645484118753,-22.929237854046526
Tijuca,-43.220027419768407,-22.931643085005124
Tijuca,-43.22078224190026,-22.931403841301055
Tijuca,-43.220782660775726,-22.931341988203208
Tijuca,-43.220770913518415,-22.9312860475235
Tijuca,-43.220740935674485,-22.93123721813641
Tijuca,-43.220709798274527,-22.931187833629597
Tijuca,-43.220671881030498,-22.931142347080502
Tijuca,-43.220640265841283,-22.931084739938388
Tijuca,-43.220621996634215,-22.93103540836816
Tijuca,-43.220632492781611,-22.930985679169218
Tijuca,-43.220669359405719,-22.93095484629313
Tijuca,-43.220720694492186,-22.930928421215864
Tijuca,-43.220778691351754,-22.930907037687952
Tijuca,-43.220795133116766,-22.930902255116226
Tijuca,-43.220834671975659,-22.930890776431159
Tijuca,-43.220844950991889,-22.930887552272495
Tijuca,-43.220893215074724,-22.930872378883862
Tijuca,-43.220948975618995,-22.930850609583175
Tijuca,-43.221002586409028,-22.930828995329726
Tijuca,-43.221062738127074,-22.930814318084469
Tijuca,-43.221132953592708,-22.930805441777217
Tijuca,-43.221168896313451,-22.930800517090432
Tijuca,-43.221183155408056,-22.930798599755743
Tijuca,-43.221213035028875,-22.930794961816428
Tijuca,-43.221244187239598,-22.930791156657865
Tijuca,-43.221304806133219,-22.930770614910955
Tijuca,-43.221399001001764,-22.930732297202752
Tijuca,-43.22144870827772,-22.930703504853525
Tijuca,-43.22149987914095,-22.930674730043819
Tijuca,-43.22153997158302,-22.930643120501351
Tijuca,-43.221547558361095,-22.930637155549768
